Container_ID,Container_Type,Size,Cargo_Category,Import_Export,Cargo_Weight_Tons,Hazardous
CONT00001,Dry,20FT,Electronics,Import,23.35,No
CONT00002,Reefer,45FT,Textiles,Export,14.97,No
CONT00003,Open Top,40FT,Electronics,Import,25.46,No
CONT00004,Tank,20FT,Textiles,Export,21.43,No
CONT00005,Dry,45FT,Electronics,Import,6.35,Yes
CONT00006,Reefer,40FT,Textiles,Export,28.39,No
CONT00007,Open Top,20FT,Electronics,Import,23.03,No
CONT00008,Tank,45FT,Textiles,Export,23.65,No
CONT00009,Dry,40FT,Electronics,Import,7.2,No
CONT00010,Reefer,20FT,Textiles,Export,15.26,Yes
CONT00011,Open Top,45FT,Electronics,Import,13.27,No
CONT00012,Tank,40FT,Textiles,Export,27.17,No
CONT00013,Dry,20FT,Electronics,Import,20.1,No
CONT00014,Reefer,45FT,Textiles,Export,24.57,No
CONT00015,Open Top,40FT,Electronics,Import,15.09,Yes
CONT00016,Tank,20FT,Textiles,Export,9.68,No
CONT00017,Dry,45FT,Electronics,Import,17.86,No
CONT00018,Reefer,40FT,Textiles,Export,5.6,No
CONT00019,Open Top,20FT,Electronics,Import,24.69,No
CONT00020,Tank,45FT,Textiles,Export,19.79,Yes
CONT00021,Dry,40FT,Electronics,Import,22.95,No
CONT00022,Reefer,20FT,Textiles,Export,12.86,No
CONT00023,Open Top,45FT,Electronics,Import,28.27,No
CONT00024,Tank,40FT,Textiles,Export,26.33,No
CONT00025,Dry,20FT,Electronics,Import,23.46,Yes
CONT00026,Reefer,45FT,Textiles,Export,8.87,No
CONT00027,Open Top,40FT,Electronics,Import,15.67,No
CONT00028,Tank,20FT,Textiles,Export,5.1,No
CONT00029,Dry,45FT,Electronics,Import,7.86,No
CONT00030,Reefer,40FT,Textiles,Export,21.08,Yes
CONT00031,Open Top,20FT,Electronics,Import,22.62,No
CONT00032,Tank,45FT,Textiles,Export,28.19,No
CONT00033,Dry,40FT,Electronics,Import,12.15,No
CONT00034,Reefer,20FT,Textiles,Export,13.26,No
CONT00035,Open Top,45FT,Electronics,Import,15.74,Yes
CONT00036,Tank,40FT,Textiles,Export,8.74,No
CONT00037,Dry,20FT,Electronics,Import,7.25,No
CONT00038,Reefer,45FT,Textiles,Export,15.89,No
CONT00039,Open Top,40FT,Electronics,Import,9.67,No
CONT00040,Tank,20FT,Textiles,Export,20.75,Yes
CONT00041,Dry,45FT,Electronics,Import,14.93,No
CONT00042,Reefer,40FT,Textiles,Export,24.82,No
CONT00043,Open Top,20FT,Electronics,Import,21.51,No
CONT00044,Tank,45FT,Textiles,Export,11.81,No
CONT00045,Dry,40FT,Electronics,Import,24.81,Yes
CONT00046,Reefer,20FT,Textiles,Export,24.12,No
CONT00047,Open Top,45FT,Electronics,Import,13.69,No
CONT00048,Tank,40FT,Textiles,Export,11.21,No
CONT00049,Dry,20FT,Electronics,Import,21.06,No
CONT00050,Reefer,45FT,Textiles,Export,7.49,Yes
CONT00051,Open Top,40FT,Electronics,Import,9.0,No
CONT00052,Tank,20FT,Textiles,Export,4.18,No
CONT00053,Dry,45FT,Electronics,Import,23.67,No
CONT00054,Reefer,40FT,Textiles,Export,20.62,No
CONT00055,Open Top,20FT,Electronics,Import,21.63,Yes
CONT00056,Tank,45FT,Textiles,Export,23.52,No
CONT00057,Dry,40FT,Electronics,Import,15.47,No
CONT00058,Reefer,20FT,Textiles,Export,18.22,No
CONT00059,Open Top,45FT,Electronics,Import,7.49,No
CONT00060,Tank,40FT,Textiles,Export,6.86,Yes
CONT00061,Dry,20FT,Electronics,Import,20.71,No
CONT00062,Reefer,45FT,Textiles,Export,15.78,No
CONT00063,Open Top,40FT,Electronics,Import,18.13,No
CONT00064,Tank,20FT,Textiles,Export,23.12,No
CONT00065,Dry,45FT,Electronics,Import,19.87,Yes
CONT00066,Reefer,40FT,Textiles,Export,17.84,No
CONT00067,Open Top,20FT,Electronics,Import,17.98,No
CONT00068,Tank,45FT,Textiles,Export,11.6,No
CONT00069,Dry,40FT,Electronics,Import,4.77,No
CONT00070,Reefer,20FT,Textiles,Export,14.92,Yes
CONT00071,Open Top,45FT,Electronics,Import,9.36,No
CONT00072,Tank,40FT,Textiles,Export,14.21,No
