Date_Record_ID,Date_Time,Date,Day,Month,Month_Name,Quarter,Year,Weekday
DR00001,2025-12-01 00:00:00,2025-12-01,1,12,December,Q4,2025,Monday
DR00002,2025-12-01 00:30:00,2025-12-01,1,12,December,Q4,2025,Monday
DR00003,2025-12-01 01:00:00,2025-12-01,1,12,December,Q4,2025,Monday
DR00004,2025-12-01 01:30:00,2025-12-01,1,12,December,Q4,2025,Monday
DR00005,2025-12-01 02:00:00,2025-12-01,1,12,December,Q4,2025,Monday
DR00006,2025-12-01 02:30:00,2025-12-01,1,12,December,Q4,2025,Monday
DR00007,2025-12-01 03:00:00,2025-12-01,1,12,December,Q4,2025,Monday
DR00008,2025-12-01 03:30:00,2025-12-01,1,12,December,Q4,2025,Monday
DR00009,2025-12-01 04:00:00,2025-12-01,1,12,December,Q4,2025,Monday
DR00010,2025-12-01 04:30:00,2025-12-01,1,12,December,Q4,2025,Monday
DR00011,2025-12-01 05:00:00,2025-12-01,1,12,December,Q4,2025,Monday
DR00012,2025-12-01 05:30:00,2025-12-01,1,12,December,Q4,2025,Monday
DR00013,2025-12-01 06:00:00,2025-12-01,1,12,December,Q4,2025,Monday
DR00014,2025-12-01 06:30:00,2025-12-01,1,12,December,Q4,2025,Monday
DR00015,2025-12-01 07:00:00,2025-12-01,1,12,December,Q4,2025,Monday
DR00016,2025-12-01 07:30:00,2025-12-01,1,12,December,Q4,2025,Monday
DR00017,2025-12-01 08:00:00,2025-12-01,1,12,December,Q4,2025,Monday
DR00018,2025-12-01 08:30:00,2025-12-01,1,12,December,Q4,2025,Monday
DR00019,2025-12-01 09:00:00,2025-12-01,1,12,December,Q4,2025,Monday
DR00020,2025-12-01 09:30:00,2025-12-01,1,12,December,Q4,2025,Monday
DR00021,2025-12-01 10:00:00,2025-12-01,1,12,December,Q4,2025,Monday
DR00022,2025-12-01 10:30:00,2025-12-01,1,12,December,Q4,2025,Monday
DR00023,2025-12-01 11:00:00,2025-12-01,1,12,December,Q4,2025,Monday
DR00024,2025-12-01 11:30:00,2025-12-01,1,12,December,Q4,2025,Monday
DR00025,2025-12-01 12:00:00,2025-12-01,1,12,December,Q4,2025,Monday
DR00026,2025-12-01 12:30:00,2025-12-01,1,12,December,Q4,2025,Monday
DR00027,2025-12-01 13:00:00,2025-12-01,1,12,December,Q4,2025,Monday
DR00028,2025-12-01 13:30:00,2025-12-01,1,12,December,Q4,2025,Monday
DR00029,2025-12-01 14:00:00,2025-12-01,1,12,December,Q4,2025,Monday
