Ship_Record_ID,Ship_ID,Ship_Name,Shipping_Line,Ship_Type,TEU_Capacity,Flag
SR00001,SHP00001,Vessel-00001,Maersk,Panamax,3000,India
SR00002,SHP00002,Vessel-00002,MSC,Post-Panamax,4500,Singapore
SR00003,SHP00003,Vessel-00003,CMA CGM,Ultra Large Container Vessel,6500,Liberia
SR00004,SHP00004,Vessel-00004,Hapag-Lloyd,Panamax,8500,Panama
SR00005,SHP00005,Vessel-00005,Evergreen,Post-Panamax,12000,Malta
SR00006,SHP00006,Vessel-00006,ONE,Ultra Large Container Vessel,3000,India
SR00007,SHP00007,Vessel-00007,Maersk,Panamax,4500,Singapore
SR00008,SHP00008,Vessel-00008,MSC,Post-Panamax,6500,Liberia
SR00009,SHP00009,Vessel-00009,CMA CGM,Ultra Large Container Vessel,8500,Panama
SR00010,SHP00010,Vessel-00010,Hapag-Lloyd,Panamax,12000,Malta
SR00011,SHP00011,Vessel-00011,Evergreen,Post-Panamax,3000,India
SR00012,SHP00012,Vessel-00012,ONE,Ultra Large Container Vessel,4500,Singapore
SR00013,SHP00013,Vessel-00013,Maersk,Panamax,6500,Liberia
SR00014,SHP00014,Vessel-00014,MSC,Post-Panamax,8500,Panama
SR00015,SHP00015,Vessel-00015,CMA CGM,Ultra Large Container Vessel,12000,Malta
SR00016,SHP00016,Vessel-00016,Hapag-Lloyd,Panamax,3000,India
SR00017,SHP00017,Vessel-00017,Evergreen,Post-Panamax,4500,Singapore
SR00018,SHP00018,Vessel-00018,ONE,Ultra Large Container Vessel,6500,Liberia
SR00019,SHP00019,Vessel-00019,Maersk,Panamax,8500,Panama
SR00020,SHP00020,Vessel-00020,MSC,Post-Panamax,12000,Malta
SR00021,SHP00021,Vessel-00021,CMA CGM,Ultra Large Container Vessel,3000,India
SR00022,SHP00022,Vessel-00022,Hapag-Lloyd,Panamax,4500,Singapore
SR00023,SHP00023,Vessel-00023,Evergreen,Post-Panamax,6500,Liberia
SR00024,SHP00024,Vessel-00024,ONE,Ultra Large Container Vessel,8500,Panama
SR00025,SHP00025,Vessel-00025,Maersk,Panamax,12000,Malta
SR00026,SHP00026,Vessel-00026,MSC,Post-Panamax,3000,India
SR00027,SHP00027,Vessel-00027,CMA CGM,Ultra Large Container Vessel,4500,Singapore
SR00028,SHP00028,Vessel-00028,Hapag-Lloyd,Panamax,6500,Liberia
SR00029,SHP00029,Vessel-00029,Evergreen,Post-Panamax,8500,Panama
SR00030,SHP00030,Vessel-00030,ONE,Ultra Large Container Vessel,12000,Malta
