Movement_ID,Date_Record_ID,Port_Record_ID,Ship_Record_ID,Container_ID,Movement_Type,Status,Movement_Time_Min,Dwell_Time_Hours,Customs_Delay_Hours
MV00001,DR01366,PR00002,SR08635,CONT00746,Transshipment,Loaded,47,34.3,0.0
MV00002,DR05983,PR00001,SR07954,CONT07307,Transshipment,Loaded,89,38.1,0.0
MV00003,DR02247,PR00002,SR05172,CONT04627,Export,In Yard,73,36.2,0.0
MV00004,DR05154,PR00006,SR09712,CONT06797,Import,Customs Hold,116,69.0,9.1
MV00005,DR03200,PR00003,SR07130,CONT06226,Export,In Yard,99,55.9,0.0
MV00006,DR07180,PR00001,SR07951,CONT09327,Export,Discharged,67,31.3,0.0
MV00007,DR09061,PR00002,SR03575,CONT09417,Import,Discharged,80,47.6,0.0
MV00008,DR00052,PR00007,SR07121,CONT02981,Export,Loaded,67,59.0,0.0
MV00009,DR08256,PR00003,SR07765,CONT05212,Export,Gate Out,85,49.5,0.0
MV00010,DR07593,PR00003,SR08975,CONT02982,Export,Loaded,61,42.6,0.0
MV00011,DR05554,PR00001,SR02205,CONT07335,Import,Loaded,61,10.8,0.0
MV00012,DR01015,PR00002,SR07134,CONT07586,Import,In Yard,71,53.7,0.0
MV00013,DR06988,PR00006,SR04068,CONT02834,Export,Loaded,112,32.1,0.0
MV00014,DR09253,PR00006,SR09690,CONT02040,Import,Gate Out,81,21.2,0.0
MV00015,DR06760,PR00003,SR09683,CONT00093,Import,Gate Out,53,15.5,0.0
MV00016,DR09027,PR00006,SR04687,CONT09534,Export,Gate Out,129,42.4,0.0
MV00017,DR09692,PR00003,SR04127,CONT00415,Export,Gate Out,32,45.3,0.0
MV00018,DR03702,PR00006,SR07330,CONT02439,Import,Customs Hold,96,58.6,8.7
MV00019,DR09597,PR00001,SR04211,CONT07430,Import,Customs Hold,50,44.4,17.0
MV00020,DR00064,PR00002,SR05820,CONT01648,Export,Discharged,84,62.1,0.0
MV00021,DR07710,PR00006,SR05625,CONT05227,Transshipment,Gate Out,82,42.3,0.0
MV00022,DR02648,PR00007,SR01368,CONT04262,Export,In Yard,114,50.0,0.0
MV00023,DR02478,PR00005,SR04995,CONT07661,Export,In Yard,104,15.7,0.0
MV00024,DR08124,PR00004,SR02519,CONT00287,Import,In Yard,70,37.0,0.0
MV00025,DR09008,PR00006,SR00099,CONT09085,Export,Loaded,52,15.0,5.0
MV00026,DR03416,PR00005,SR03705,CONT06606,Export,Customs Hold,68,22.6,17.6
MV00027,DR02810,PR00002,SR02683,CONT03219,Export,Discharged,85,43.7,0.0
MV00028,DR04065,PR00003,SR02403,CONT07624,Export,Discharged,71,17.1,0.0
MV00029,DR04953,PR00004,SR05645,CONT03031,Import,In Yard,79,21.9,5.8
MV00030,DR06629,PR00004,SR00871,CONT03601,Import,Loaded,109,27.6,0.0
MV00031,DR05831,PR00006,SR02884,CONT08680,Export,Loaded,94,63.6,0.0
MV00032,DR02815,PR00003,SR00018,CONT03254,Import,Customs Hold,64,58.3,4.0
MV00033,DR06566,PR00001,SR08622,CONT07903,Export,Gate Out,90,45.0,0.0
MV00034,DR06308,PR00002,SR03914,CONT06812,Export,Customs Hold,110,55.8,8.9
MV00035,DR07137,PR00006,SR01409,CONT08355,Import,Discharged,105,32.4,0.0
MV00036,DR04453,PR00001,SR01603,CONT05050,Export,Loaded,66,60.0,0.0
MV00037,DR05446,PR00006,SR05721,CONT00731,Export,In Yard,86,38.2,0.0
MV00038,DR09995,PR00001,SR09834,CONT04710,Export,Customs Hold,72,44.7,11.4
MV00039,DR05152,PR00003,SR02155,CONT07243,Import,In Yard,64,42.6,0.0
MV00040,DR09686,PR00006,SR04799,CONT04449,Import,In Yard,86,26.6,0.0
MV00041,DR04247,PR00003,SR08612,CONT06206,Import,In Yard,81,33.5,0.0
MV00042,DR05098,PR00006,SR08412,CONT08651,Import,Gate Out,83,45.7,0.0
MV00043,DR00682,PR00001,SR02590,CONT09308,Export,Discharged,116,22.0,0.0
MV00044,DR04157,PR00003,SR04898,CONT00185,Import,Loaded,72,42.9,0.0
MV00045,DR01355,PR00004,SR09743,CONT05268,Import,In Yard,143,30.1,0.0
MV00046,DR00211,PR00006,SR04569,CONT05514,Transshipment,Discharged,72,52.5,0.0
MV00047,DR03885,PR00001,SR00634,CONT02000,Import,In Yard,68,16.3,0.0
MV00048,DR03349,PR00002,SR07271,CONT04892,Import,Gate Out,80,53.3,0.0
MV00049,DR03356,PR00004,SR06315,CONT09065,Export,Discharged,121,57.1,0.0
MV00050,DR07276,PR00007,SR08940,CONT02757,Export,In Yard,104,42.8,0.0
MV00051,DR00984,PR00006,SR08748,CONT06090,Import,Loaded,83,40.5,0.0
MV00052,DR07671,PR00006,SR03088,CONT02715,Transshipment,Loaded,39,60.8,0.0
MV00053,DR04066,PR00003,SR09988,CONT07899,Export,Loaded,81,28.8,0.0
