Crane_Operation_ID,Date_Record_ID,Port_Record_ID,Ship_Record_ID,Crane_ID,Crane_Type,Operating_Hours,Downtime_Hours,Containers_Handled,Maintenance_Status
CRN00001,DR02910,PR00002,SR05442,QC-02,Quay Crane,9.98,0.96,197,Operational
CRN00002,DR08104,PR00001,SR03383,QC-05,Quay Crane,9.28,1.96,242,Maintenance
CRN00003,DR04118,PR00002,SR07792,QC-02,Quay Crane,3.7,0.89,119,Operational
CRN00004,DR05620,PR00006,SR05883,QC-03,Quay Crane,6.49,1.17,143,Inspection
CRN00005,DR04389,PR00003,SR01138,QC-07,Quay Crane,5.13,1.03,102,Inspection
CRN00006,DR08999,PR00001,SR06935,QC-03,Quay Crane,10.0,1.49,255,Inspection
CRN00007,DR00937,PR00002,SR08229,QC-07,RTG Crane,6.65,1.06,184,Inspection
CRN00008,DR02788,PR00007,SR02285,QC-03,Quay Crane,6.12,1.5,141,Inspection
CRN00009,DR02500,PR00003,SR07528,QC-02,Quay Crane,8.38,0.86,260,Operational
CRN00010,DR04510,PR00003,SR07010,QC-07,Quay Crane,6.85,1.37,171,Inspection
CRN00011,DR04394,PR00001,SR05285,QC-03,Quay Crane,8.9,1.07,270,Inspection
CRN00012,DR05062,PR00002,SR01138,QC-01,Quay Crane,6.32,0.43,149,Operational
CRN00013,DR04442,PR00006,SR08035,QC-02,Quay Crane,8.67,0.82,269,Operational
CRN00014,DR01482,PR00006,SR01908,QC-07,Quay Crane,3.44,1.0,52,Operational
CRN00015,DR09695,PR00003,SR08580,QC-05,Quay Crane,10.0,1.75,279,Maintenance
CRN00016,DR08630,PR00006,SR00059,QC-04,Quay Crane,8.35,0.57,222,Operational
CRN00017,DR00763,PR00003,SR09948,QC-05,Quay Crane,7.75,1.93,151,Maintenance
CRN00018,DR01625,PR00006,SR06309,QC-02,Quay Crane,6.49,0.88,190,Operational
CRN00019,DR04233,PR00001,SR01725,QC-02,Quay Crane,7.18,0.83,212,Operational
CRN00020,DR04010,PR00002,SR08104,QC-01,Quay Crane,7.15,0.28,191,Operational
CRN00021,DR08754,PR00006,SR08252,QC-03,Quay Crane,6.93,1.18,208,Inspection
CRN00022,DR07329,PR00007,SR08491,QC-02,Quay Crane,7.66,0.63,236,Operational
CRN00023,DR04765,PR00005,SR03507,QC-04,Quay Crane,7.03,1.07,178,Inspection
CRN00024,DR01949,PR00004,SR09399,QC-06,RTG Crane,7.13,0.59,185,Operational
CRN00025,DR06182,PR00006,SR05321,QC-05,Quay Crane,6.61,1.57,206,Maintenance
CRN00026,DR02938,PR00005,SR06256,QC-07,Quay Crane,7.01,1.19,162,Inspection
CRN00027,DR05301,PR00002,SR08898,QC-02,Quay Crane,7.59,0.56,279,Operational
CRN00028,DR04748,PR00003,SR00707,QC-02,Quay Crane,7.44,0.65,185,Operational
CRN00029,DR07157,PR00004,SR04703,QC-06,Quay Crane,7.1,0.76,240,Operational
CRN00030,DR09152,PR00004,SR00444,QC-01,RTG Crane,6.82,0.07,173,Operational
CRN00031,DR07038,PR00006,SR03914,QC-01,Quay Crane,8.08,0.55,191,Operational
CRN00032,DR00067,PR00003,SR04453,QC-06,RTG Crane,6.26,0.56,194,Operational
CRN00033,DR05088,PR00001,SR02124,QC-07,Quay Crane,4.62,1.72,100,Maintenance
CRN00034,DR00994,PR00002,SR09926,QC-01,Quay Crane,7.08,0.41,121,Operational
CRN00035,DR05174,PR00006,SR08620,QC-03,RTG Crane,8.57,1.25,257,Inspection
CRN00036,DR08955,PR00001,SR08129,QC-04,Quay Crane,7.98,0.47,236,Operational
CRN00037,DR06429,PR00006,SR01768,QC-03,Quay Crane,8.44,1.35,171,Inspection
CRN00038,DR03215,PR00001,SR03258,QC-08,Quay Crane,6.61,0.69,141,Operational
CRN00039,DR06509,PR00003,SR08423,QC-02,Quay Crane,7.88,0.37,213,Operational
CRN00040,DR09102,PR00006,SR07314,QC-08,Quay Crane,10.0,0.69,260,Operational
CRN00041,DR06078,PR00003,SR07045,QC-03,RTG Crane,5.45,1.42,171,Inspection
CRN00042,DR03545,PR00006,SR01579,QC-01,Quay Crane,7.96,0.17,237,Operational
CRN00043,DR00180,PR00001,SR08748,QC-03,Quay Crane,6.67,1.45,161,Inspection
CRN00044,DR03245,PR00003,SR04284,QC-04,Quay Crane,9.17,0.38,220,Operational
CRN00045,DR09758,PR00004,SR04740,QC-06,Quay Crane,7.21,0.82,152,Operational
CRN00046,DR06169,PR00006,SR00043,QC-06,Quay Crane,6.8,0.8,209,Operational
CRN00047,DR09883,PR00001,SR08588,QC-03,Quay Crane,5.12,1.02,99,Inspection
CRN00048,DR00082,PR00002,SR09910,QC-08,Quay Crane,5.81,0.33,153,Operational
CRN00049,DR04423,PR00004,SR01677,QC-01,Quay Crane,6.66,1.09,174,Inspection
CRN00050,DR04558,PR00007,SR09814,QC-05,Quay Crane,8.61,1.4,186,Inspection
CRN00051,DR01186,PR00006,SR07757,QC-05,RTG Crane,9.53,2.06,255,Maintenance
