Truck_Movement_ID,Date_Record_ID,Port_Record_ID,Container_ID,Gate_ID,Truck_Type,Arrival_Hour,Waiting_Minutes,Processing_Minutes,Gate_Status
TRK00001,DR09975,PR00002,CONT07306,Gate 4,Container Truck,12,22.2,22.7,Completed
TRK00002,DR09316,PR00001,CONT06064,Gate 3,Container Truck,22,68.9,25.5,Completed
TRK00003,DR04482,PR00002,CONT06148,Gate 2,Container Truck,15,54.6,27.8,Completed
TRK00004,DR07092,PR00006,CONT03734,Gate 5,Trailer,7,38.1,24.3,Completed
TRK00005,DR00682,PR00003,CONT05429,Gate 2,Container Truck,22,44.7,20.9,Cancelled
TRK00006,DR07382,PR00001,CONT00292,Gate 5,Container Truck,14,53.2,20.0,Completed
TRK00007,DR07513,PR00002,CONT04440,Gate 1,Container Truck,11,57.9,25.8,Completed
TRK00008,DR04657,PR00007,CONT03129,Gate 3,Container Truck,18,79.3,24.3,Completed
TRK00009,DR09679,PR00003,CONT00922,Gate 2,Trailer,10,67.8,10.2,Completed
TRK00010,DR05108,PR00003,CONT05024,Gate 2,Container Truck,9,57.6,17.3,Completed
TRK00011,DR06560,PR00001,CONT03555,Gate 2,Container Truck,6,49.3,35.9,Completed
TRK00012,DR03318,PR00002,CONT04355,Gate 1,Container Truck,21,45.3,29.8,Completed
TRK00013,DR05965,PR00006,CONT03121,Gate 2,Container Truck,17,56.0,26.1,Completed
TRK00014,DR00171,PR00006,CONT05882,Gate 5,Container Truck,14,48.9,40.1,Completed
TRK00015,DR07231,PR00003,CONT01766,Gate 5,Container Truck,9,53.5,23.7,Completed
TRK00016,DR09258,PR00006,CONT02577,Gate 2,Container Truck,18,58.5,25.7,Completed
TRK00017,DR08580,PR00003,CONT08018,Gate 4,Container Truck,12,26.7,21.1,Completed
TRK00018,DR03314,PR00006,CONT07302,Gate 3,Container Truck,7,86.6,27.6,Completed
TRK00019,DR07086,PR00001,CONT08372,Gate 1,Trailer,21,43.3,21.8,Completed
TRK00020,DR00987,PR00002,CONT03214,Gate 2,Trailer,9,94.9,32.7,Completed
TRK00021,DR09076,PR00006,CONT09477,Gate 5,Tanker,6,49.3,24.7,Completed
TRK00022,DR00381,PR00007,CONT09580,Gate 2,Container Truck,13,63.8,44.8,Completed
TRK00023,DR03101,PR00005,CONT04444,Gate 4,Trailer,13,8.4,20.9,Completed
TRK00024,DR06283,PR00004,CONT05256,Gate 2,Trailer,18,61.9,23.6,Completed
TRK00025,DR02459,PR00006,CONT07366,Gate 5,Trailer,20,50.8,17.7,Completed
TRK00026,DR09700,PR00005,CONT04337,Gate 5,Container Truck,7,42.9,14.3,Completed
TRK00027,DR08900,PR00002,CONT06671,Gate 5,Container Truck,21,60.5,19.1,Completed
TRK00028,DR07583,PR00003,CONT04289,Gate 4,Trailer,20,45.0,25.9,Completed
TRK00029,DR02223,PR00004,CONT04016,Gate 4,Container Truck,15,16.1,22.0,Completed
TRK00030,DR03804,PR00004,CONT06027,Gate 1,Trailer,12,27.3,8.0,Completed
TRK00031,DR06034,PR00006,CONT08006,Gate 1,Container Truck,15,41.7,29.3,Completed
TRK00032,DR06033,PR00003,CONT05918,Gate 1,Container Truck,16,39.9,31.6,Completed
TRK00033,DR03620,PR00001,CONT02201,Gate 5,Container Truck,21,62.9,22.1,Completed
TRK00034,DR06319,PR00002,CONT00420,Gate 2,Container Truck,8,52.3,19.2,Completed
TRK00035,DR00656,PR00006,CONT02177,Gate 5,Trailer,13,59.1,8.0,Completed
TRK00036,DR06476,PR00001,CONT00465,Gate 5,Container Truck,21,59.0,22.5,Completed
TRK00037,DR05319,PR00006,CONT03917,Gate 2,Container Truck,6,49.9,16.6,Completed
TRK00038,DR02333,PR00001,CONT00813,Gate 3,Container Truck,18,76.6,15.2,Completed
TRK00039,DR06792,PR00003,CONT07095,Gate 1,Container Truck,10,61.7,29.7,Completed
TRK00040,DR09338,PR00006,CONT02869,Gate 2,Container Truck,20,42.3,32.0,Completed
TRK00041,DR09195,PR00003,CONT04365,Gate 3,Trailer,14,75.5,20.8,Completed
TRK00042,DR08866,PR00006,CONT04240,Gate 3,Container Truck,16,79.5,22.9,Completed
TRK00043,DR09166,PR00001,CONT09038,Gate 2,Trailer,19,70.1,22.9,Completed
TRK00044,DR05791,PR00003,CONT00652,Gate 3,Trailer,19,81.7,35.3,Completed
TRK00045,DR03582,PR00004,CONT03920,Gate 2,Trailer,22,42.5,21.9,Completed
TRK00046,DR05965,PR00006,CONT05175,Gate 4,Container Truck,20,23.5,25.1,Completed
TRK00047,DR00525,PR00001,CONT08576,Gate 5,Container Truck,14,48.8,27.2,Completed
TRK00048,DR05365,PR00002,CONT08644,Gate 3,Container Truck,20,93.6,29.1,Completed
TRK00049,DR02635,PR00004,CONT06005,Gate 3,Container Truck,15,67.5,23.7,Completed
TRK00050,DR03248,PR00007,CONT07241,Gate 3,Trailer,18,84.0,13.9,Completed
TRK00051,DR01242,PR00006,CONT09420,Gate 2,Container Truck,6,44.6,17.3,Completed
TRK00052,DR09891,PR00006,CONT04900,Gate 4,Container Truck,17,40.5,22.4,Completed
TRK00053,DR07385,PR00003,CONT03227,Gate 2,Trailer,16,44.3,28.5,Completed
TRK00054,DR01682,PR00004,CONT02440,Gate 3,Trailer,22,84.4,17.9,Completed
TRK00055,DR09058,PR00006,CONT01596,Gate 5,Container Truck,10,49.9,25.4,Completed
TRK00056,DR05668,PR00006,CONT00564,Gate 2,Container Truck,14,55.6,20.6,Completed
TRK00057,DR01704,PR00006,CONT09620,Gate 2,Tanker,20,69.2,16.5,Completed
TRK00058,DR05277,PR00006,CONT06296,Gate 5,Trailer,11,57.6,21.4,Completed
