Yard_Record_ID,Date_Record_ID,Port_Record_ID,Yard_ID,Capacity_TEUs,Occupied_TEUs,Available_TEUs,Utilization_Percentage,Inbound_Containers,Outbound_Containers,Long_Stay_Containers
YRD00001,DR05294,PR00002,Yard C,13000,11089,1911,85.3,346,318,83
YRD00002,DR03101,PR00001,Yard C,13000,10998,2002,84.6,313,334,43
YRD00003,DR02592,PR00002,Yard C,13000,10660,2340,82.0,182,243,22
YRD00004,DR09274,PR00006,Yard D,11000,7172,3828,65.2,262,214,37
YRD00005,DR03092,PR00003,Yard A,14000,13034,966,93.1,134,226,71
YRD00006,DR00098,PR00001,Yard D,11000,7348,3652,66.8,294,230,71
YRD00007,DR00200,PR00002,Yard C,13000,11154,1846,85.8,164,166,75
YRD00008,DR05781,PR00007,Yard A,14000,13426,574,95.9,228,252,92
YRD00009,DR08401,PR00003,Yard D,11000,6941,4059,63.1,325,216,50
YRD00010,DR03111,PR00003,Yard A,14000,13790,210,98.5,243,283,64
YRD00011,DR07109,PR00001,Yard D,11000,7238,3762,65.8,216,141,66
YRD00012,DR06558,PR00002,Yard C,13000,11609,1391,89.3,266,203,37
YRD00013,DR04957,PR00006,Yard D,11000,7249,3751,65.9,309,245,51
YRD00014,DR00887,PR00006,Yard A,14000,13538,462,96.7,247,216,75
YRD00015,DR08834,PR00003,Yard A,14000,13790,210,98.5,253,252,88
YRD00016,DR03196,PR00006,Yard D,11000,7029,3971,63.9,205,229,47
YRD00017,DR09872,PR00003,Yard A,14000,13790,210,98.5,256,284,115
YRD00018,DR08234,PR00006,Yard C,13000,10751,2249,82.7,229,225,62
YRD00019,DR03318,PR00001,Yard C,13000,11713,1287,90.1,187,225,84
YRD00020,DR08970,PR00002,Yard C,13000,10998,2002,84.6,230,212,100
YRD00021,DR02979,PR00006,Yard E,12500,12188,312,97.5,282,246,92
YRD00022,DR01768,PR00007,Yard C,13000,11180,1820,86.0,289,231,79
YRD00023,DR08374,PR00005,Yard A,14000,13790,210,98.5,291,249,92
YRD00024,DR00499,PR00004,Yard B,12000,8832,3168,73.6,237,230,33
YRD00025,DR06968,PR00006,Yard B,12000,9540,2460,79.5,299,306,98
YRD00026,DR09718,PR00005,Yard A,14000,12586,1414,89.9,193,221,93
YRD00027,DR05346,PR00002,Yard E,12500,11338,1162,90.7,310,280,75
YRD00028,DR02628,PR00003,Yard D,11000,6974,4026,63.4,180,199,38
YRD00029,DR04737,PR00004,Yard D,11000,7282,3718,66.2,149,335,68
YRD00030,DR04351,PR00004,Yard C,13000,11622,1378,89.4,290,219,68
YRD00031,DR01131,PR00006,Yard E,12500,11475,1025,91.8,190,263,115
YRD00032,DR04595,PR00003,Yard E,12500,12025,475,96.2,335,268,102
YRD00033,DR03069,PR00001,Yard A,14000,13790,210,98.5,229,209,91
YRD00034,DR09173,PR00002,Yard C,13000,11154,1846,85.8,207,199,58
YRD00035,DR04930,PR00006,Yard A,14000,13790,210,98.5,274,253,114
YRD00036,DR07571,PR00001,Yard C,13000,11050,1950,85.0,309,225,78
YRD00037,DR06637,PR00006,Yard D,11000,6930,4070,63.0,136,128,82
YRD00038,DR03048,PR00001,Yard C,13000,11895,1105,91.5,257,274,48
YRD00039,DR06557,PR00003,Yard E,12500,12000,500,96.0,201,220,105
YRD00040,DR00826,PR00006,Yard D,11000,7733,3267,70.3,268,240,49
YRD00041,DR01989,PR00003,Yard B,12000,9072,2928,75.6,243,183,81
YRD00042,DR09244,PR00006,Yard D,11000,7744,3256,70.4,275,277,63
YRD00043,DR07945,PR00001,Yard D,11000,7227,3773,65.7,228,241,34
YRD00044,DR08324,PR00003,Yard A,14000,13216,784,94.4,310,261,82
YRD00045,DR01376,PR00004,Yard C,13000,11362,1638,87.4,163,176,72
YRD00046,DR02535,PR00006,Yard D,11000,7502,3498,68.2,307,201,52
YRD00047,DR02746,PR00001,Yard C,13000,11206,1794,86.2,333,298,77
YRD00048,DR02900,PR00002,Yard B,12000,8784,3216,73.2,268,227,81
YRD00049,DR05927,PR00004,Yard B,12000,9180,2820,76.5,331,191,69
YRD00050,DR07037,PR00007,Yard E,12500,11862,638,94.9,312,229,107
YRD00051,DR08478,PR00006,Yard C,13000,11700,1300,90.0,181,222,91
YRD00052,DR05905,PR00006,Yard D,11000,7084,3916,64.4,223,251,55
YRD00053,DR01344,PR00003,Yard A,14000,13790,210,98.5,248,332,99
YRD00054,DR06195,PR00004,Yard B,12000,9276,2724,77.3,260,214,37
YRD00055,DR02773,PR00006,Yard A,14000,13790,210,98.5,192,275,82
YRD00056,DR08563,PR00006,Yard A,14000,13062,938,93.3,321,286,78
